國文,英文,數學,地理,歷史
70,52,92,98,99
97,79,58,85,85
89,61,72,69,71
94,62,51,67,54
97,84,92,90,98
85,85,69,78,63
52,95,92,57,59
53,81,54,88,93
75,77,72,77,78
88,62,82,81,87
58,73,92,89,85
64,56,87,68,61
95,59,89,74,59
67,74,82,86,86
53,94,56,99,65
88,63,79,67,98
94,95,91,72,91
74,83,95,69,61
100,81,51,99,69
93,91,77,72,53
69,100,83,81,57
95,78,58,54,94
83,98,97,56,59
75,57,98,70,85
72,84,69,86,75
79,54,55,77,54
84,57,55,88,95
74,66,56,53,71
98,83,54,64,77
78,88,50,65,72
82,55,94,53,76
100,69,69,54,71
76,68,84,97,73
95,62,74,73,75
59,88,85,56,78
61,74,82,100,97
82,99,86,77,76
82,87,75,94,55
80,65,54,84,59
89,74,70,92,98
86,81,85,94,73
51,68,54,75,52
57,72,86,98,55
81,83,63,94,89
73,70,96,82,63
68,86,78,60,50
82,80,98,58,81
95,81,86,73,79
59,62,51,86,95
94,94,58,57,64
